# range_bin,doppler_bin,angle_deg,snr,zone_flag
145.0,8,4.0,101.1,1
146.0,8,-0.7,101.3,1
148.0,8,-3.6,101.2,1
169.0,8,-1.5,101.1,0
168.0,8,-1.3,101.6,0
149.0,8,-7.0,101.3,1
150.0,8,-14.9,101.3,0
151.0,8,-35.9,101.3,0
172.0,8,10.8,101.1,0
171.0,8,2.8,101.7,0
191.0,8,-4.5,101.2,0
185.0,8,14.7,102.0,0
166.0,8,-1.6,102.8,0
192.0,8,-3.5,102.5,0
138.0,8,-3.8,102.3,1
165.0,8,-2.1,102.4,0
193.0,8,-2.6,103.0,0
178.0,8,-0.1,101.0,0
172.0,8,-0.1,101.0,0
81.0,8,0.1,101.0,0
158.0,8,-0.1,101.0,0
147.0,8,-0.1,101.0,1
169.0,8,-0.3,101.0,0
65.0,8,0.2,101.0,0
157.0,8,-0.1,101.1,0
191.0,8,-0.7,101.0,0
59.0,8,0.3,101.1,0
177.0,8,-0.0,101.0,0
60.0,8,0.2,101.1,0
145.0,8,0.1,101.1,1
175.0,8,0.1,101.1,0
174.0,8,0.1,101.1,0
80.0,8,0.1,101.1,0
79.0,8,0.1,101.2,0
78.0,8,0.1,101.2,0
77.0,8,0.1,101.3,0
76.0,8,0.1,101.1,0
56.0,8,-0.0,101.1,0
74.0,8,0.2,101.1,0
55.0,8,-0.2,101.1,0
170.0,8,-0.9,101.2,0
161.0,8,1.6,101.2,0
151.0,8,0.7,101.3,0
183.0,8,-0.5,101.1,0
148.0,8,-0.2,101.1,1
127.0,8,-0.0,101.1,1
132.0,8,-1.2,101.2,1
133.0,8,-1.4,101.2,1
135.0,8,-0.9,101.1,1
136.0,8,-0.7,101.2,1
143.0,8,1.7,101.2,1
61.0,8,-0.3,101.2,0
146.0,8,-0.0,101.3,1
62.0,8,-0.6,101.3,0
63.0,8,-0.5,101.3,0
64.0,8,-0.1,101.3,0
75.0,8,0.6,101.4,0
171.0,8,-1.0,101.6,0
168.0,8,-0.7,101.5,0
167.0,8,-0.3,101.6,0
166.0,8,-0.1,102.5,0
165.0,8,0.1,102.4,0
192.0,8,-1.8,102.4,0
150.0,8,0.1,101.3,0
179.0,8,4.7,101.8,0
180.0,8,4.7,101.7,0
149.0,8,-0.3,101.3,1
126.0,8,-0.1,101.4,1
128.0,8,0.6,101.3,1
129.0,8,0.3,101.4,1
137.0,8,-3.6,101.9,1
184.0,8,8.9,101.3,0
185.0,8,10.8,102.0,0
138.0,8,-3.3,102.3,1
139.0,8,-2.4,101.4,1
140.0,8,1.1,101.4,1
141.0,8,55.0,101.7,1
186.0,8,15.0,101.5,0
142.0,8,59.9,101.7,1
193.0,8,-0.8,102.8,0
176.0,8,9.8,101.4,0
51.0,8,0.2,101.1,0
43.0,8,0.3,101.1,0
80.0,8,0.2,101.1,0
44.0,8,0.4,101.1,0
60.0,8,0.1,101.1,0
45.0,8,0.5,101.1,0
57.0,8,0.2,101.1,0
36.0,8,0.4,101.2,0
50.0,8,0.1,101.2,0
58.0,8,0.2,101.2,0
177.0,8,-0.1,101.2,0
147.0,8,-0.1,101.2,1
171.0,8,-0.2,101.2,0
55.0,8,-0.1,101.2,0
178.0,8,0.0,101.2,0
143.0,8,0.5,101.3,1
59.0,8,0.2,101.2,0
